window_idx,start,end,n_days,spd_strategy,spd_uniform,pct_strategy,pct_uniform
68,2016-03-09 00:00:00+00:00,2017-03-08 00:00:00+00:00,365,159238.29877739548,159736.75158459664,48.91057126271086,49.209046075911914
69,2016-03-10 00:00:00+00:00,2017-03-09 00:00:00+00:00,365,158789.2870088263,159302.20358270337,48.64170186963575,48.9488376232396
70,2016-03-11 00:00:00+00:00,2017-03-10 00:00:00+00:00,365,158366.54623331287,158893.55414945938,48.38856361425641,48.70413729957789
71,2016-03-12 00:00:00+00:00,2017-03-11 00:00:00+00:00,365,157932.8202522711,158473.28650643537,48.12884738976811,48.45247996224562
72,2016-03-13 00:00:00+00:00,2017-03-12 00:00:00+00:00,365,157473.0491781672,158027.9166984462,47.853535297076796,48.18579138446156
73,2016-03-14 00:00:00+00:00,2017-03-13 00:00:00+00:00,365,157014.77946930414,157583.67446183573,47.579122225723786,47.91977799929706
74,2016-03-15 00:00:00+00:00,2017-03-14 00:00:00+00:00,365,156561.07896664937,157143.32945262856,47.30744520671072,47.65609828384893
75,2016-03-16 00:00:00+00:00,2017-03-15 00:00:00+00:00,365,156106.0618975151,156701.24957392854,47.03497982432933,47.3913797241204
76,2016-03-17 00:00:00+00:00,2017-03-16 00:00:00+00:00,365,155668.79186214923,156276.84920111464,46.77314141106592,47.13724769764159
77,2016-03-18 00:00:00+00:00,2017-03-17 00:00:00+00:00,365,155256.76775663503,155877.91199049744,46.5264203250353,46.898363077678226
78,2016-03-19 00:00:00+00:00,2017-03-18 00:00:00+00:00,365,154856.7956919199,155492.51754627714,46.32386583873078,46.7048415895491
79,2016-03-20 00:00:00+00:00,2017-03-19 00:00:00+00:00,365,154441.519725675,155091.4042141848,46.484820818578136,46.87774810590478
80,2016-03-21 00:00:00+00:00,2017-03-20 00:00:00+00:00,365,154026.99043532964,154690.51882956908,46.23419186458306,46.63536840691066
81,2016-03-22 00:00:00+00:00,2017-03-21 00:00:00+00:00,365,153594.58686162744,154271.311924513,46.16594538964999,46.576820159817245
82,2016-03-23 00:00:00+00:00,2017-03-22 00:00:00+00:00,365,153188.08428161097,153877.76373231385,45.91913665845791,46.337876707168874
83,2016-03-24 00:00:00+00:00,2017-03-23 00:00:00+00:00,365,152785.2631076872,153487.8160944134,45.674563099221466,46.10111933717221
84,2016-03-25 00:00:00+00:00,2017-03-24 00:00:00+00:00,365,152401.76686831328,153118.34175741515,45.44172270678662,45.87679236655649
85,2016-03-26 00:00:00+00:00,2017-03-25 00:00:00+00:00,365,152013.17384360894,152743.214914763,45.20578779249042,45.64903346754207
86,2016-03-27 00:00:00+00:00,2017-03-26 00:00:00+00:00,365,151626.8911668391,152370.43889568135,44.97125560986275,45.42270187504727
87,2016-03-28 00:00:00+00:00,2017-03-27 00:00:00+00:00,365,151233.67320297676,151989.1846470662,44.73251265590938,45.191222711105716
88,2016-03-29 00:00:00+00:00,2017-03-28 00:00:00+00:00,365,150835.65030210261,151603.5027191328,44.490852376296495,44.95705527415342
89,2016-03-30 00:00:00+00:00,2017-03-29 00:00:00+00:00,365,150427.0494487256,151208.21317561588,44.24276967487331,44.71705455709781
