date,price,prob_up,allocation_mult_raw,allocation_mult_smooth,amount_dynamic_raw,amount_naive,amount_dynamic,units_purchased,units_purchased_naive,cumulative_invested,cumulative_invested_naive,cumulative_units,cumulative_units_naive,portfolio_value,portfolio_value_naive,dynamic_pct,naive_pct,tracking_error,block,test_window_start,test_window_end
2025-07-14,119863.71,0.3824380338191986,1.0,1.0,100.0,100.0,102.04495376992801,0.0008513415258874267,0.00083428086782897,204.08990753985603,200.0,0.0017938473407101698,0.001757899116456658,215.017197431155,210.7083099042171,1.1070830990421712,1.1070830990421707,4.440892098500626e-16,3,2025-07-01,2025-08-29
2025-07-21,117428.79,0.1225329041481018,0.71154601274408,1.0996701154087198,109.96701154087198,100.0,112.21578608905422,0.0009556071052852902,0.0008515799234582933,316.30569362891026,300.0,0.00274945444599546,0.002609479039914951,322.86510875336717,306.4279661875744,0.5015780719434932,0.4542756587382297,0.047302413205263516,3,2025-07-01,2025-08-29
2025-07-28,117979.7,0.14444094896316528,0.943584880328463,0.8752001817222476,87.52001817222475,100.0,89.30976208327935,0.000756992618927488,0.0008476034436432708,405.6154557121896,400.0,0.003506447064922948,0.003457082483558222,413.68957278548993,407.8655542854539,0.2813077708607483,0.3310324098675326,-0.049724639006784255,3,2025-07-01,2025-08-29
2025-08-04,115051.85,0.5402352809906006,1.0,1.0,100.0,100.0,88.21252680125531,0.0007667197598409352,0.0008691733335882908,88.21252680125531,100.0,0.0007667197598409352,0.0008691733335882908,88.21252680125531,100.0,-0.7867663760357912,-0.7548211685215939,-0.03194520751419738,4,2025-07-31,2025-09-28
2025-08-11,118701.84,0.5518327951431274,1.0,1.0,100.0,100.0,88.21252680125531,0.0007431437187600066,0.0008424469241588841,176.42505360251062,200.0,0.0015098634786009418,0.0017116202577471748,179.22357305873243,203.1724739758639,1.0317247397586393,1.0317247397586389,4.440892098500626e-16,4,2025-07-31,2025-09-28
2025-08-18,116260.0,0.5246289968490601,0.7809281688309453,0.9181811421111686,91.81811421111686,100.0,80.99507860688867,0.0006966719302157979,0.000860141063134354,257.4201322093993,300.0,0.00220653540881674,0.002571761320881529,256.5318066290342,298.9929711656865,0.43135081089454386,0.47162145203392924,-0.04027064113938539,4,2025-07-31,2025-09-28
2025-08-25,112856.19,0.17314977943897247,1.4985089136751375,1.0364434408136913,103.64434408136913,100.0,105.76382300297824,0.0009371557112018246,0.0008860834306031419,800.0,800.0,0.006923175240522622,0.006914927235042893,781.3231803477167,780.3923418741754,2.045716594034569,1.6100691893580406,0.4356474046765286,3,2025-07-01,2025-08-29
2025-09-01,109240.55,0.5434755086898804,1.0,1.0,100.0,100.0,94.45617155040212,0.0008646621749011893,0.0009154109897835556,94.45617155040212,100.0,0.0008646621749011893,0.0009154109897835556,94.45617155040212,100.0,-0.8791074245251936,-0.8718593268613555,-0.00724809766383816,5,2025-08-30,2025-10-28
2025-09-08,112072.57,0.548700213432312,1.0,1.0,100.0,100.0,94.45617155040212,0.0008428125771578372,0.0008922789938697756,188.91234310080424,200.0,0.0017074747520590267,0.0018076899836533312,191.36108367336792,202.59246223128685,1.0259246223128682,1.0259246223128686,-4.440892098500626e-16,5,2025-08-30,2025-10-28
2025-09-15,115381.08,0.5523874163627625,1.0,1.0,100.0,100.0,94.45617155040212,0.0008186452367268716,0.0008666932221469933,283.36851465120634,300.0,0.002526119988785898,0.0026743832058003245,291.4664525157048,308.5732226191037,0.5231229198785561,0.5231229198785561,0.0,5,2025-08-30,2025-10-28
2025-09-22,112736.59,0.5612372159957886,1.5954067356831318,1.5405234202625255,154.05234202625255,100.0,145.51194446172934,0.0012907250827945865,0.0008870234588433091,428.8804591129357,400.0,0.0038168450715804847,0.0035614066646436336,430.29809792828974,401.5008429751968,0.47632118281298386,0.30115257431394493,0.17516860849903892,5,2025-08-30,2025-10-28
2025-09-29,114365.2,0.5934812426567078,1.6,1.5951018479093257,159.51018479093258,100.0,150.6672137864867,0.0013174218537324877,0.0008743918604610494,579.5476728994224,500.0,0.005134266925312972,0.004435798525104683,587.1814637668031,507.3009854833021,0.3645922828705097,0.263511632314658,0.10108065055585169,5,2025-08-30,2025-10-28
2025-10-06,124720.09,0.5574038624763489,0.7,0.7737154861132788,77.37154861132788,100.0,73.08220268751863,0.000585969771890949,0.0008017954445029667,652.629875586941,600.0,0.005720236697203921,0.00523759396960765,713.4284356965758,653.2331912729234,0.21500503629643064,0.28766395091977337,-0.07265891462334273,5,2025-08-30,2025-10-28
2025-10-13,115274.03,0.540230929851532,0.7,0.7215269305291963,72.15269305291963,100.0,68.15267152830084,0.0005912231187571116,0.0008674980826123629,720.7825471152419,700.0,0.006311459815961033,0.0061050920522200125,727.5474081688866,703.7585643803712,0.019790313598203157,0.07734661034138757,-0.05755629674318441,5,2025-08-30,2025-10-28
2025-10-20,110574.4,0.7425327301025391,0.872252742631402,0.8762529368608769,87.62529368608769,100.0,84.5843050274774,0.000764953777976434,0.000904368461416024,374.1729664834797,400.0,0.0032203619331545533,0.003448053848992403,356.08958854140485,381.2664855200255,-0.5105616698743771,-0.45824249278484586,-0.052319177089531266,6,2025-09-29,2025-11-27
2025-10-27,114087.06,0.6915762424468994,0.7,0.7436111082841431,74.36111082841431,100.0,71.78044849727313,0.0006291725678378698,0.0008765235952263123,445.9534149807528,500.0,0.0038495345009924233,0.004324577444218715,439.1820735867926,493.3783263532272,0.23334713431456056,0.2940511298292783,-0.060703995514717723,6,2025-09-29,2025-11-27
2025-11-03,106538.3,0.5131779313087463,1.0,1.0,100.0,100.0,107.67502156434628,0.0010106696048683551,0.0009386295820376334,107.67502156434628,100.0,0.0010106696048683551,0.0009386295820376334,107.67502156434628,100.0,-0.7548282863984721,-0.7973157825169515,0.04248749611847935,7,2025-10-29,2025-12-27
2025-11-10,105973.3,0.5555910468101501,1.0,1.0,100.0,100.0,107.67502156434628,0.0010160580218257454,0.0009436339153352778,215.35004312869256,200.0,0.0020267276266941006,0.0018822634973729112,214.77901480194194,199.46967428614875,0.9946967428614875,0.9946967428614875,0.0,7,2025-10-29,2025-12-27
2025-11-17,92541.0,0.5078243017196655,0.7,0.8028999999999998,80.28999999999998,100.0,86.4522748140136,0.0009342051070770103,0.001080602111496526,301.80231794270617,300.0,0.002960932733771111,0.002962865608869437,274.0076761159124,274.1865463103866,0.2757655880328347,0.3745776007888444,-0.0988120127560097,7,2025-10-29,2025-12-27
2025-11-24,88275.0,0.4556637704372406,0.7,0.7084742574699998,70.84742574699999,100.0,76.28498095086645,0.0008641742390355871,0.0011328235627301047,378.0872988935726,400.0,0.003825106972806698,0.0040956891715995414,337.6613180245113,361.54696162294954,0.23230605365110923,0.31861671000322755,-0.08631065635211832,7,2025-10-29,2025-12-27
2025-12-01,86447.0,0.4929278790950775,0.7986824876391505,0.8369940135703194,83.69940135703195,100.0,90.12334846041288,0.001042527195396172,0.0011567781415202378,468.2106473539855,500.0,0.00486763416820287,0.0052524673131197795,420.7923709386335,454.0600418172656,0.2461965539922688,0.2558812270998869,-0.009684673107618114,7,2025-10-29,2025-12-27
2025-12-08,90650.1,0.49198079109191895,0.7,0.711282046091774,71.1282046091774,100.0,76.5873096512641,0.0008448673487537697,0.0011031427433615627,544.7979570052496,600.0,0.00571250151695664,0.006355610056481342,517.8388337622712,576.1366871810394,0.2306279047007498,0.26885573298894916,-0.03822782828819937,7,2025-10-29,2025-12-27
2025-12-15,86434.3,0.48716726899147034,1.4838173110639796,1.111324635405706,111.1324635405706,100.0,119.66190408229865,0.0013844261373355097,0.001156948109720331,664.4598610875482,700.0,0.007096927654292149,0.007512558166201673,613.417973949384,649.3427063049253,0.18457314120823765,0.12706363047642966,0.05750951073180799,7,2025-10-29,2025-12-27
2025-12-22,86396.0,0.48416709899902344,1.4867280430457412,1.2587890575109237,125.87890575109238,100.0,135.54013891245182,0.0015688242385347912,0.0011574609935645168,800.0,800.0,0.00866575189282694,0.00867001915976619,748.6863005326763,749.0549753271597,0.22051575325123096,0.15355877266974405,0.06695698058148691,7,2025-10-29,2025-12-27
